date,temperature,relative_humidity,pressure,wind_speed,wind_direction,visibility
2020-10-08,28,74.3,29.98,7,100,10.0
2019-12-29,24,83.34,30.06,11,110,10.0
2015-12-21,26,78.64,30.11,15,110,10.0
2018-11-14,26,94.23,30.07,3,120,10.0
2023-05-13,28,58.11,30.06,9,60,10.0
2020-08-09,31,70.48,30.13,6,110,10.0
2018-10-06,28,74.3,30.02,10,70,10.0
2019-08-13,27,83.68,29.92,0,0,10.0
2020-11-29,28,58.11,30.0,10,120,10.0
2014-08-21,28,78.92,30.08,0,0,10.0
2018-09-24,28,78.92,29.98,8,80,10.0
2015-02-03,24,57.15,30.13,12,80,10.0
2014-12-13,15,58.79,30.14,7,320,10.0
2015-12-21,26,73.97,30.11,16,100,10.0
2022-11-17,23,94.11,30.05,6,310,10.0
2017-05-04,26,73.97,29.95,8,90,10.0
2019-01-19,25,53.83,30.02,12,140,10.0
2022-06-27,29,70.11,30.01,3,120,10.0
2021-11-25,21,60.24,30.19,4,20,10.0
2016-11-12,23,78.21,30.06,5,230,10.0
2021-03-28,24,83.34,30.06,12,120,10.0
2020-10-30,27,88.84,29.94,0,0,10.0
2023-07-01,28,78.92,29.99,5,110,10.0
2023-05-23,30,66.18,29.9,7,100,10.0
2021-10-26,31,62.5,29.83,9,250,10.0
2016-08-23,28,88.92,30.12,3,360,10.0
2022-05-08,25,69.36,29.86,5,260,10.0
2017-10-14,30,70.29,30.06,8,70,10.0
2018-12-12,22,56.66,30.16,12,60,10.0
2019-02-19,25,94.19,30.17,6,130,10.0
2022-01-07,22,94.06,30.04,5,150,10.0
2018-11-24,22,94.06,29.91,3,210,10.0
2023-11-11,29,58.35,30.05,10,100,10.0
2021-10-30,27,65.56,29.82,11,300,10.0
2016-09-15,24,100.0,29.99,0,0,10.0
2019-02-04,24,60.93,30.0,7,280,10.0
2020-06-12,28,65.77,30.03,12,90,10.0
2016-12-05,24,88.6,30.07,8,110,10.0
2021-01-09,16,63.17,30.12,6,320,10.0
2021-02-06,23,88.52,29.93,4,110,10.0
2023-06-02,23,94.11,29.78,0,0,10.0
2018-10-04,28,74.3,29.96,8,60,10.0
2015-04-18,28,65.77,30.01,6,190,10.0
2014-07-27,27,83.68,30.07,3,310,10.0
2019-06-12,28,74.3,29.99,0,0,10.0
2021-06-05,27,78.78,30.08,6,110,10.0
2017-03-11,23,73.46,30.05,6,190,10.0
2019-08-21,28,69.92,30.04,5,90,10.0
2017-04-05,28,69.92,29.97,9,170,10.0
2021-11-17,24,69.16,30.17,6,60,10.0
2014-10-21,24,83.34,29.95,0,0,10.0
2017-05-03,23,83.22,30.01,13,90,10.0
2014-12-30,22,94.06,30.15,0,0,10.0
2019-07-28,30,70.29,30.1,3,300,10.0
2022-01-13,19,88.19,29.99,0,0,10.0
2020-10-05,28,78.92,29.91,7,100,10.0
2017-04-15,24,69.16,30.16,10,60,10.0
2017-07-10,30,66.18,30.05,7,110,10.0
2022-05-22,29,74.47,30.2,14,110,10.0
2021-09-07,26,88.76,30.0,0,0,10.0
2018-04-24,26,83.57,30.0,6,230,10.0
2016-07-17,29,74.47,30.1,10,80,10.0
2017-12-26,26,65.36,30.19,7,60,10.0
2022-10-01,24,88.6,29.81,3,340,10.0
2015-07-11,27,74.14,30.11,0,0,10.0
2021-07-29,28,74.3,30.03,0,0,10.0
2016-02-22,22,68.77,30.09,6,110,10.0
2019-05-19,27,69.74,29.99,15,80,10.0
2017-08-22,32,70.66,30.03,7,100,10.0
2016-06-12,25,88.68,30.13,3,220,10.0
2017-03-10,26,47.55,30.16,0,0,10.0
2016-07-04,31,70.48,30.1,12,110,10.0
2021-04-04,22,43.45,30.16,8,60,10.0
2022-01-26,27,69.74,29.95,8,270,10.0
2015-02-25,18,93.88,29.97,0,0,10.0
2018-07-02,27,88.84,30.02,3,350,10.0
2014-04-03,26,57.63,30.13,14,130,10.0
2017-01-12,25,61.16,30.27,12,100,10.0
2014-07-01,25,94.19,29.93,5,290,10.0
2021-10-11,28,74.3,29.92,3,100,10.0
2019-04-06,27,69.74,30.1,10,120,10.0
2015-08-04,33,49.4,30.05,10,120,10.0
2017-12-23,23,78.21,30.16,6,110,10.0
2014-03-23,26,39.06,30.05,8,250,10.0
2023-07-21,29,79.06,30.01,0,0,10.0
2017-11-25,20,88.27,30.0,3,30,10.0
2017-05-13,29,51.5,29.86,9,230,10.0
2022-09-06,33,59.27,30.05,6,110,10.0
2017-01-21,18,93.88,29.98,0,0,10.0
2016-08-22,28,78.92,30.04,0,0,10.0
2023-11-18,24,83.34,29.76,4,260,10.0
2014-04-13,28,61.84,30.05,9,110,10.0
2021-02-09,22,94.06,30.12,0,0,4.0
2014-07-25,28,74.3,30.06,4,100,10.0
2018-11-21,22,94.06,30.09,5,340,10.0
2014-06-11,25,83.45,30.0,3,240,10.0
2023-05-14,27,61.61,30.08,8,60,10.0
2019-10-04,30,62.28,29.91,8,60,10.0
2016-02-05,24,83.34,30.04,7,170,10.0
2017-03-01,26,73.97,30.16,12,110,10.0
2015-04-30,24,94.15,29.74,6,240,8.0
2021-08-31,34,46.71,29.92,5,310,10.0
2023-03-11,30,48.62,29.89,11,250,10.0
2015-06-06,27,74.14,29.95,8,100,10.0
2021-11-13,28,54.58,29.94,6,260,10.0
2015-07-06,29,65.98,30.11,9,100,10.0
2020-12-03,22,56.66,30.15,9,80,10.0
2021-12-09,24,94.15,30.12,4,270,10.0
2016-01-25,11,66.51,30.19,4,340,10.0
2018-04-13,25,57.39,30.14,13,80,10.0
2021-03-05,18,77.46,29.95,4,310,10.0
2022-12-27,14,93.7,30.14,4,310,10.0
2018-06-29,31,58.81,30.07,0,0,10.0
2021-10-13,24,88.6,29.93,0,0,10.0
2018-09-21,28,78.92,30.05,7,90,10.0
2022-10-16,30,70.29,30.03,10,70,10.0
2014-12-01,23,68.97,30.23,3,40,10.0
2019-09-10,29,70.11,30.09,11,100,10.0
2020-11-11,26,88.76,29.87,13,120,10.0
2014-02-21,24,88.6,30.1,11,110,10.0
2014-06-28,26,78.64,30.08,0,0,10.0
2015-01-30,16,72.22,30.2,0,0,10.0
2015-05-26,27,69.74,30.13,13,110,10.0
2021-11-26,26,47.55,29.98,6,290,10.0
2016-05-04,25,83.45,29.9,8,240,10.0
2017-10-28,26,57.63,29.97,12,80,10.0
2021-01-25,21,88.35,30.04,7,100,10.0
